Póstnúmer;Staður;Tegund;Svæði;Heimilisfang
271;Mosfellsbæ;Afgreiðsla;Höfuðborgarsvæðið;Háholt 14 (Mosfellsbæ)
276;Mosfellsbæ;Afgreiðsla;Höfuðborgarsvæðið;Háholt 14 (Mosfellsbæ)
300;Akranesi;Pósthús;Vesturland og Vestfirðir;Smiðjuvöllum 30
301;Akranesi;Dreifbýli;Vesturland og Vestfirðir;Landpóstur
302;Akranesi;Pósthólf;Vesturland og Vestfirðir;Smiðjuvöllum 30 (pósthólf)
310;Borgarnesi;Afgreiðsla;Vesturland og Vestfirðir;Borgarbraut 12
311;Borgarnesi;Dreifbýli;Vesturland og Vestfirðir;Landpóstur
320;Reykholt í Borgarfirði;Afgreiðsla;Vesturland og Vestfirðir;Landpóstur
340;Stykkishólmi;Pósthús;Vesturland og Vestfirðir;Aðalgötu 31
345;Flatey á Breiðafirði;Afgreiðsla;Vesturland og Vestfirðir;Flatey
350;Grundarfirði;Afgreiðsla;Vesturland og Vestfirðir;Grundargötu 50
355;Ólafsvík;Pósthús;Vesturland og Vestfirðir;Bæjartúni 5
356;Snæfellsbæ;Póstnúmer;Vesturland og Vestfirðir;Landpóstur
360;Hellissandi;Afgreiðsla;Vesturland og Vestfirðir;Klettsbúð 7
370;Búðardal;Afgreiðsla;Vesturland og Vestfirðir;Miðbraut 13
371;Búðardal;Dreifbýli;Vesturland og Vestfirðir;Landpóstur
380;Reykhólahreppi;Afgreiðsla;Vesturland og Vestfirðir;Landpóstur
400;Ísafirði;Pósthús;Vesturland og Vestfirðir;Aðalstræti 18
401;Ísafirði;Dreifbýli;Vesturland og Vestfirðir;Landpóstur
410;Hnífsdal;Póstnúmer;Vesturland og Vestfirðir;Landpóstur
415;Bolungarvík;Afgreiðsla;Vesturland og Vestfirðir;Aðalstræti 14
420;Súðavík;Afgreiðsla;Vesturland og Vestfirðir;Grundarstræti 3-5
425;Flateyri;Afgreiðsla;Vesturland og Vestfirðir;Ránargötu 1
430;Suðureyri;Afgreiðsla;Vesturland og Vestfirðir;Aðalgötu 8
